ID;NOMBRE;Activado;Productos;Recencia;Frecuencia;PrecioProm;Monto;MERCADO;REGION;PAIS;TIPOCOMPRA;LIMITECREDITO;DIASLIMITECR;EDAD;GRUPOCLIENTE;TIPONEGOCIO
1294239;SHANGHAI VIN & JOHN INTERNATIONAL TRADING CO.,LTD;Activo;3;0;3;26;78;MERCADO INTERNACIONAL;ASIA PACIFIC;CANADA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294240;GARRAFEIRA SOARES S.A;Activo;4;0.111;3;26;104;MERCADO INTERNACIONAL;EUROPA;CANADA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294241;DISTRIBUIDORA ZABLAH S.A DE C.V;Activo;5;0.066;3;25;125;MERCADO CENTROAMÉRICA;CENTROAMÉRICA;EL SALVADOR;Credito;100000;60;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294242;BRAPAC DISTRIBUTION;Activo;4;0.438;3;24;96;SIN MERCADO;SIN REGIÓN;EL SALVADOR;Contado;0;60;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294243;SULLIVAN NC S.A S;Activo;6;0;3;29;174;SIN MERCADO;SIN REGIÓN;EL SALVADOR;Contado;0;60;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294244;THE LAST PORT;Activo;4;0.195;2;29;116;SIN MERCADO;SIN REGIÓN;EL SALVADOR;Contado;0;60;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294245;LUXURY SPIRITS S.A;Activo;4;0.574;3;28;112;MERCADO INTERNACIONAL;SURAMÉRICA Y PANAMÁ;EL SALVADOR;Contado;0;60;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294246;YUANLIU INTERNATIONAL TRADE CO, LTD.-CAMUS;Activo;4;0;4;27;108;MERCADO INTERNACIONAL;ASIA PACIFIC;EL SALVADOR;Contado;0;120;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294247;LOTTE TRAVEL RETAIL SINGAPORE PTE, LTD;Activo;4;0.618;5;35;140;SIN MERCADO;SIN REGIÓN;EL SALVADOR;Contado;0;120;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
2110501;ED&F MAN SUGAR;Activo;4;0.445;3;28;112;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;11;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110502;SUCDEN AMERICAS CORP.;Activo;3;0.181;3;29;87;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;11;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110503;UNITED MOLASSES TRADING LTD;Activo;6;0;3;27;162;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;11;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110504;E.D & F MAN LIQUID PRODUCT LLC;Inactivo;3;0.96;3;29;87;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;10;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110505;PETER CREMER GMBH;Activo;5;0.416;3;34;170;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;8;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110506;CZARNIKOW GROUP LIMITED;Activo;8;0.076;3;34;272;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Credito;875282.35;30;7;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110507;CSC SUGAR,LLC;Activo;4;0.103;3;35;140;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;7;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110508;SUCRO CAN SOURCING LLC;Activo;4;0.235;3;34;136;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;5;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110509;ALVEAN SUGAR S.L. BILBAO GENEVA BRANCH;Activo;2;0.041;4;34;68;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;4;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110510;TOPPER TRADING CORP.;Activo;8;0;4;34;272;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;4;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110511;TATE LYLE & SUGARS LIMITED;Activo;6;0.137;4;34;204;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;4;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2110513;LOUIS DREYFUS COMPANY SUGAR MERCHANDISING LLC;Activo;5;0.575;4;36;180;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;2;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2210150;ORLANDO MORENO MURILLO;Activo;5;0;3;34;170;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;60;3;OTROS;CLIENTES EXTERIOR
2210204;GREENTREE INDUSTRY LIMITED;Activo;5;0.532;4;34;170;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;OTROS;CLIENTES EXTERIOR
2220000;ECOMSSA;Activo;9;0.154;4;37;333;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220001;SERMATEC;Activo;6;0;4;36;216;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;9;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220022;INTERUNION COMERCIO INTERNACIONAL LTDA;Activo;5;0;4;36;180;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;7;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2220025;NG METALURGICA;Activo;5;0.453;4;36;180;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;1;CLIENTES EXTERIOR;CLIENTES EXTERIOR
